query_index,query_nn
0,932085
1,413247
2,669835
3,970797
4,340871
5,187470
6,402219
7,906750
8,376328
9,178811
10,316210
11,4697
12,390776
13,522078
14,454220
15,970094
16,796844
17,394163
18,247250
19,222535
20,587404
21,4490
22,31629
23,364790
24,4630
25,719083
26,426883
27,291918
28,725057
29,5453
30,534527
31,5559
32,5300
33,995079
34,149480
35,5841
36,5842
37,5184
38,5023
39,720244
40,8307
41,672663
42,353533
43,6302
44,754244
45,339510
46,5880
47,676288
48,5213
49,5084
50,5653
51,6123
52,353210
53,351987
54,112794
55,228527
56,308262
57,966916
58,7237
59,6834
60,5278
61,8402
62,6560
63,6321
64,5635
65,992978
66,5390
67,37790
68,745206
69,956344
70,6124
71,5826
72,448667
73,6853
74,7364
75,6553
76,120210
77,908325
78,544739
79,6070
80,7451
81,833230
82,177759
83,296270
84,8894
85,754930
86,807714
87,7722
88,7098
89,7627
90,9258
91,439826
92,8356
93,991587
94,8419
95,849118
96,436416
97,8825
98,112511
99,8082
100,223309
101,5155
102,365106
103,642707
104,579263
105,51078
106,908531
107,52534
108,39450
109,9090
110,207205
111,470540
112,8601
113,414105
114,553796
115,706821
116,38575
117,696572
118,519634
119,8931
120,881091
121,782263
122,8307
123,643195
124,103994
125,704656
126,182672
127,105230
128,79896
129,769300
130,983491
131,913076
132,9218
133,680650
134,134221
135,76517
136,344680
137,488577
138,9036
139,524261
140,153612
141,633090
142,519620
143,176839
144,652311
145,334524
146,9346
147,878059
148,457569
149,9481
150,440119
151,429941
152,648210
153,859750
154,57520
155,9298
156,487346
157,20892
158,482561
159,514333
160,834181
161,695379
162,468128
163,609734
164,528519
165,681938
166,734397
167,23724
168,762024
169,566915
170,670975
171,600558
172,529003
173,428155
174,833112
175,377175
176,820221
177,620366
178,583981
179,803291
180,854496
181,431712
182,257067
183,562172
184,981160
185,558528
186,582253
187,631251
188,305247
189,248392
190,634404
191,374554
192,565433
193,207969
194,33867
195,792136
196,169281
197,7491
198,834062
199,806918
200,88826
201,225982
202,322843
203,20723
204,324884
205,764342
206,964228
207,620044
208,824844
209,855136
210,176331
211,947639
212,902479
213,193524
214,160527
215,960303
216,744151
217,170149
218,924968
219,264459
220,510083
221,494574
222,484703
223,687256
224,922838
225,351372
226,484673
227,176263
228,663045
229,165096
230,422219
231,460147
232,779083
233,711339
234,822700
235,46576
236,904857
237,587328
238,89978
239,604041
240,480326
241,958347
242,844991
243,182827
244,556948
245,116311
246,833526
247,739752
248,806419
249,809232
250,750376
251,2322
252,376113
253,776650
254,131391
255,518664
256,460828
257,308002
258,318116
259,795030
260,833728
261,171774
262,122505
263,701190
264,562339
265,734391
266,975035
267,902536
268,842588
269,461925
270,983296
271,738355
272,823928
273,260713
274,128826
275,855397
276,180780
277,929681
278,276645
279,670056
280,131547
281,801154
282,333651
283,845397
284,401420
285,437551
286,222214
287,867958
288,281244
289,978603
290,615735
291,842648
292,390644
293,455629
294,877820
295,376787
296,514702
297,732952
298,171680
299,226525
300,156229
301,670527
302,432345
303,842918
304,523552
305,663407
306,934313
307,129935
308,907698
309,843267
310,690502
311,739560
312,972038
313,565419
314,15135
315,15081
316,15298
317,505574
318,663446
319,683492
320,16109
321,111843
322,989268
323,13485
324,15904
325,13660
326,730788
327,15900
328,278954
329,330390
330,16949
331,124724
332,844212
333,931631
334,331568
335,684906
336,393768
337,91707
338,16527
339,883519
340,223580
341,88629
342,850738
343,17479
344,352261
345,16637
346,948692
347,17148
348,462917
349,16540
350,18945
351,22186
352,551368
353,230025
354,266899
355,93285
356,16995
357,17726
358,17131
359,64
360,829671
361,682089
362,883937
363,876815
364,877330
365,17820
366,883795
367,753678
368,988732
369,153931
370,17428
371,16914
372,585857
373,16792
374,312261
375,513478
376,111927
377,101705
378,18639
379,826639
380,114872
381,17184
382,274963
383,403592
384,683787
385,367675
386,272632
387,18333
388,600164
389,871337
390,397368
391,954676
392,502450
393,912111
394,636151
395,17232
396,251606
397,920718
398,579277
399,506541
400,72793
401,219166
402,18536
403,690379
404,249712
405,15144
406,510088
407,503482
408,799436
409,918287
410,761604
411,159977
412,440494
413,480651
414,18797
415,663562
416,325765
417,703799
418,361910
419,432752
420,753717
421,866845
422,700249
423,729154
424,968826
425,835326
426,825937
427,663590
428,598341
429,693557
430,209984
431,541869
432,481676
433,512401
434,20875
435,895259
436,22625
437,20891
438,21053
439,21191
440,21044
441,21033
442,876481
443,353286
444,635433
445,854227
446,630843
447,21572
448,21846
449,803654
450,704742
451,21402
452,120153
453,929589
454,947836
455,127302
456,575404
457,23337
458,855868
459,515288
460,683266
461,490524
462,157735
463,754764
464,501910
465,366433
466,233549
467,537099
468,354128
469,847215
470,521152
471,170267
472,617534
473,833133
474,916293
475,297045
476,426536
477,161189
478,676946
479,530515
480,833735
481,186456
482,318431
483,31222
484,490709
485,646776
486,659157
487,540819
488,155943
489,622213
490,156334
491,783656
492,517105
493,838350
494,648488
495,353227
496,991988
497,843394
498,428606
499,396100
500,391738
501,876360
502,88463
503,790439
504,45781
505,986642
506,405654
507,94268
508,652973
509,764312
510,626523
511,533063
512,933047
513,599690
514,38432
515,700863
516,694724
517,142179
518,762608
519,426846
520,796788
521,853559
522,330309
523,415751
524,346457
525,151385
526,716289
527,99310
528,100789
529,590051
530,834921
531,890871
532,424248
533,708924
534,941614
535,724784
536,31109
537,127184
538,821951
539,429807
540,725395
541,397070
542,353320
543,784848
544,915991
545,31288
546,720503
547,71653
548,522531
549,825845
550,488285
551,678335
552,83191
553,427775
554,821134
555,487278
556,32520
557,107229
558,80498
559,900580
560,60908
561,154044
562,553043
563,16121
564,907929
565,67579
566,70761
567,811081
568,453808
569,783652
570,21406
571,402876
572,6379
573,384067
574,498871
575,796110
576,729911
577,450055
578,263339
579,471313
580,627172
581,525978
582,36223
583,273713
584,80553
585,454074
586,36797
587,132583
588,36643
589,207664
590,37041
591,37134
592,647903
593,278747
594,789026
595,721300
596,528899
597,905264
598,37245
599,60219
600,499476
601,350498
602,612423
603,560395
604,141826
605,20957
606,994886
607,913293
608,402031
609,37488
610,37476
611,491664
612,678085
613,2698
614,277447
615,855717
616,37543
617,395830
618,853283
619,415468
620,866018
621,38622
622,914850
623,857273
624,38903
625,37930
626,38921
627,442435
628,38089
629,207406
630,52854
631,39440
632,38527
633,38566
634,890354
635,893190
636,887048
637,877493
638,478104
639,638904
640,430217
641,250640
642,441661
643,899023
644,540571
645,448530
646,419333
647,40784
648,661651
649,717671
650,718282
651,191139
652,654804
653,606956
654,960157
655,473932
656,188840
657,291969
658,827286
659,585214
660,374360
661,684465
662,656332
663,893461
664,949614
665,81126
666,467437
667,854371
668,993296
669,237418
670,895794
671,524151
672,638447
673,910025
674,638475
675,867794
676,518777
677,41308
678,24885
679,406634
680,41821
681,517347
682,28952
683,655458
684,820656
685,660029
686,559293
687,543192
688,169473
689,563132
690,228231
691,40166
692,225452
693,966593
694,770018
695,106315
696,489402
697,540362
698,999715
699,838673
700,658501
701,44256
702,223530
703,892900
704,43994
705,698937
706,502245
707,473314
708,282640
709,787645
710,487421
711,15969
712,45203
713,516684
714,284424
715,437385
716,418450
717,925156
718,733458
719,761627
720,347094
721,601258
722,45203
723,524713
724,132086
725,906624
726,612926
727,640069
728,932544
729,771170
730,483520
731,717436
732,53352
733,41125
734,218435
735,31955
736,635618
737,720321
738,16601
739,388826
740,57212
741,436304
742,722398
743,90552
744,626307
745,621552
746,207888
